user_lifestyle,user_budget,user_home_env,user_activity,user_experience,cat_personality,cat_health_status,cat_size,cat_energy_level,cat_temperament_score,success_score
sedentary,limited,apartment,little,first_time,calm,Healthy,Small,Low,5,95
sedentary,moderate,house,moderate,some,friendly,Healthy,Medium,Medium,4,88
moderate,generous,large_house,lots,experienced,playful,Treated,Large,High,3,92
active,moderate,house,lots,experienced,energetic,Healthy,Medium,High,2,85
active,generous,large_house,lots,some,playful,Healthy,Large,High,3,90
moderate,limited,apartment,little,first_time,calm,Recovering,Small,Low,5,82
sedentary,moderate,house,moderate,some,quiet,Healthy,Medium,Low,4,87
active,generous,large_house,lots,experienced,energetic,Healthy,Medium,High,3,93
sedentary,limited,apartment,little,first_time,calm,Healthy,Small,Low,5,98
sedentary,moderate,house,moderate,some,friendly,Healthy,Medium,Medium,4,92
moderate,generous,large_house,lots,experienced,playful,Treated,Large,High,3,89
active,moderate,house,lots,experienced,energetic,Healthy,Medium,High,2,87
active,generous,large_house,lots,some,playful,Healthy,Large,High,3,91
moderate,limited,apartment,little,first_time,calm,Recovering,Small,Low,5,95
sedentary,moderate,house,moderate,some,quiet,Healthy,Medium,Low,4,88
active,generous,large_house,lots,experienced,energetic,Healthy,Medium,High,3,90
moderate,moderate,apartment,moderate,some,friendly,Treated,Large,Medium,4,94
active,generous,large_house,lots,experienced,playful,Healthy,Medium,High,3,85
sedentary,limited,house,little,first_time,calm,Healthy,Small,Low,5,97
active,generous,house,lots,experienced,energetic,Healthy,Large,High,2,86
